freq,core,L1D_size,L1D_assoc,L1D_type,L1I_size,L1I_assoc,L1I_type,l2_enabled,l2_prefetch,L2_size,L2_assoc,L2_type,benchmark,sim_seconds,total_energy,l1i_hits,l1i_misses,l1i_miss_rate,l1d_hits,l1d_misses,l1d_miss_rate,l2_hits,l2_misses,l2_miss_rate,refreshEnergy,selfRefreshEnergy,actEnergy,actBackEnergy,actPowerDownEnergy,preEnergy,preBackEnergy,prePowerDownEnergy,readEnergy,writeEnergy,dCacheStaticPower,dCacheDynamicPower,dWalkerCacheStaticPower,dWalkerCacheDynamicPower,iCacheStaticPower,iCacheDynamicPower,iWalkerCacheStaticPower,iWalkerCacheDynamicPower,cpuStaticPower,cpuDynamicPower,l2StaticPower,l2DynamicPower
1500,A15,128kB,2,"hp",16kB,4,"hp",True,False,4MB,2,"hp",5.78384890688e-06,0.018242,317062213.95,11419439.0,1229.0,0.006393,8162654.0,537434.0,1.581317,155871.0,40011.0,1.889715,17675580.0,47479210.65,17860710.0,56375845.5,19804331.1,9407059.2,1584060.0,951682.5,145385352.0,536328.0,0.845519,0.4001,3.8e-05,0.0,0.088293,0.126896,3.8e-05,0.0,0.010925,0.012309,26.79513,0.289584
1500,A15,128kB,2,"hp",32kB,4,"hp",True,False,4MB,2,"hp",5.75469038478e-06,0.018231,315654126.75,11419928.0,964.0,0.004514,8162958.0,537176.0,1.580862,155839.0,39782.0,1.884032,17651400.0,47533643.1,17700060.0,55919691.0,19645618.05,9327091.2,1564802.4,1006614.0,145027848.0,274248.0,0.845519,0.400846,3.8e-05,0.0,0.175484,0.201306,3.8e-05,0.0,0.010925,0.012318,26.79513,0.29186
1500,A15,128kB,2,"hp",64kB,4,"hp",True,False,4MB,2,"hp",5.73373740458e-06,0.018224,314625625.8,11420093.0,896.0,0.003683,8162983.0,537158.0,1.581207,155880.0,39679.0,1.878854,17603040.0,47533643.1,17505495.0,55734265.5,19623472.5,9221721.6,1549257.6,1003671.0,144786768.0,59904.0,0.845519,0.40139,3.8e-05,0.0,0.34637,0.353056,3.8e-05,0.0,0.010925,0.012324,26.79513,0.29378
1500,A15,128kB,2,"hp",128kB,4,"hp",True,False,4MB,2,"hp",5.72821726648e-06,0.018223,314339969.625,11420104.0,883.0,0.003522,8162992.0,537150.0,1.581168,155893.0,39656.0,1.877547,17578860.0,47533646.925,17453730.0,55641247.5,19623708.3,9191616.0,1570718.4,1004346.0,144737376.0,0.0,0.845519,0.401502,3.8e-05,0.0,0.675165,0.514508,3.8e-05,0.0,0.010925,0.012325,26.79513,0.294186
1500,A15,128kB,2,"hp",256kB,4,"hp",True,False,4MB,2,"hp",8.30253319251e-06,0.024279,341963556.675,11220111.0,813.0,0.003711,8149916.0,528472.0,1.815934,156156.0,39363.0,1.93793,20794800.0,64821101.475,17612595.0,56494893.0,24811386.9,9279110.4,1855706.4,1570815.0,144716208.0,0.0,1.112525,0.398989,5e-05,0.0,1.6668,0.814702,5e-05,0.0,0.014375,0.012313,35.25675,0.288281
1500,A15,256kB,2,"hp",16kB,4,"hp",True,False,4MB,2,"hp",5.78711208463e-06,0.018261,316911017.175,11430469.0,1235.0,0.006179,8224064.0,479089.0,1.454475,133939.0,40070.0,1.912997,17675580.0,47582111.325,17871420.0,56052114.0,19768155.45,9411763.2,1644403.2,983214.0,145383000.0,538200.0,1.609053,0.648043,3.8e-05,0.0,0.088293,0.126956,3.8e-05,0.0,0.010925,0.012305,26.79513,0.261839
1500,A15,256kB,2,"hp",32kB,4,"hp",True,False,4MB,2,"hp",5.76257187712e-06,0.018252,315722763.375,11431000.0,967.0,0.00439,8224214.0,478961.0,1.454072,133830.0,39917.0,1.908911,17627220.0,47583327.675,17685780.0,55878621.0,19741254.6,9317683.2,1606826.4,972058.5,145038432.0,270504.0,1.609053,0.649192,3.8e-05,0.0,0.175484,0.201393,3.8e-05,0.0,0.010925,0.012314,26.79513,0.26402
1500,A15,256kB,2,"hp",64kB,4,"hp",True,False,4MB,2,"hp",5.7418522443e-06,0.018245,314708262.225,11431149.0,897.0,0.00359,8224242.0,478943.0,1.454233,133872.0,39812.0,1.904284,17578860.0,47583327.675,17526915.0,55626096.0,19691284.65,9233952.0,1625798.4,977836.5,144803232.0,59904.0,1.609053,0.649925,3.8e-05,0.0,0.34637,0.353172,3.8e-05,0.0,0.010925,0.012319,26.79513,0.26554
1500,A15,256kB,2,"hp",128kB,4,"hp",True,False,4MB,2,"hp",5.73582606128e-06,0.018243,314412435.525,11431175.0,885.0,0.003445,8224242.0,478947.0,1.454548,133884.0,39789.0,1.90317,17554680.0,47583327.675,17457300.0,55593129.0,19672027.65,9193497.6,1627185.6,976392.0,144753840.0,0.0,1.609053,0.650201,3.8e-05,0.0,0.675165,0.514711,3.8e-05,0.0,0.010925,0.01232,26.79513,0.266186
1500,A15,256kB,2,"hp",256kB,4,"hp",True,False,4MB,2,"hp",8.32391506342e-06,0.024299,342562042.2,11230735.0,821.0,0.003724,8221154.0,458568.0,1.615976,134122.0,39514.0,1.958432,20843160.0,64767844.95,17744685.0,56922520.5,24915276.45,9349670.4,1738406.4,1550551.5,144723264.0,0.0,2.117175,0.646075,5e-05,0.0,1.6668,0.815043,5e-05,0.0,0.014375,0.012305,35.25675,0.260464
1500,A15,512kB,2,"hp",16kB,4,"hp",True,False,4MB,2,"hp",5.75742046141e-06,0.018242,315613444.875,11431065.0,1237.0,0.006417,8395229.0,305534.0,1.098107,53506.0,39910.0,2.12349,17385420.0,47575791.375,17730405.0,55941558.0,19432002.9,9338380.8,1578184.8,903595.5,145281864.0,440856.0,3.196522,1.216787,3.8e-05,0.0,0.088293,0.127037,3.8e-05,0.0,0.010925,0.012312,26.79513,0.168216
1500,A15,512kB,2,"hp",32kB,4,"hp",True,False,4MB,2,"hp",5.7447257266e-06,0.018239,314969336.4,11431553.0,969.0,0.004542,8395300.0,305476.0,1.098064,53374.0,39780.0,2.121759,17361240.0,47575756.95,17694705.0,55913863.5,19421254.35,9318624.0,1552725.6,900621.0,144980808.0,244296.0,3.196522,1.218138,3.8e-05,0.0,0.175484,0.201464,3.8e-05,0.0,0.010925,0.012316,26.79513,0.169373
1500,A15,512kB,2,"hp",64kB,4,"hp",True,False,4MB,2,"hp",5.72602661798e-06,0.018233,314047420.5,11431713.0,897.0,0.003669,8395332.0,305463.0,1.098437,53402.0,39688.0,2.117457,17337060.0,47575756.95,17525130.0,55684482.0,19373937.15,9233952.0,1586834.4,902538.0,144777360.0,44928.0,3.196522,1.219621,3.8e-05,0.0,0.34637,0.353309,3.8e-05,0.0,0.010925,0.012321,26.79513,0.171028
1500,A15,512kB,2,"hp",128kB,4,"hp",True,False,4MB,2,"hp",5.72106210933e-06,0.018231,313809561.15,11431732.0,885.0,0.003515,8395337.0,305460.0,1.098396,53412.0,39667.0,2.116353,17312880.0,47575756.95,17485860.0,55653624.0,19351791.6,9209491.2,1579898.4,906849.0,144727968.0,0.0,3.196522,1.219921,3.8e-05,0.0,0.675165,0.514871,3.8e-05,0.0,0.010925,0.012322,26.79513,0.171372
1500,A15,512kB,2,"hp",256kB,4,"hp",True,False,4MB,2,"hp",8.30709543828e-06,0.024295,341926134.525,11229796.0,821.0,0.003736,8380581.0,297805.0,1.161279,53511.0,39511.0,2.122949,20625540.0,64746291.675,17762535.0,56864523.0,24661437.75,9359078.4,1720699.2,1486678.5,144692688.0,0.0,4.20595,1.21181,5e-05,0.0,1.6668,0.815039,5e-05,0.0,0.014375,0.012307,35.25675,0.164991
1500,A15,128kB,2,"hp",32kB,4,"hp",True,True,4MB,32,"hp",5.70126193687e-06,0.018037,316087039.8,11420184.0,960.0,0.013009,8196885.0,503159.0,1.460366,168810.0,26814.0,1.311925,16248960.0,49354572.9,18887085.0,56239204.5,18179708.4,9948019.2,1835632.8,516379.5,144760896.0,0.0,0.845519,0.405302,3.8e-05,0.0,0.175484,0.202552,3.8e-05,0.0,0.010925,0.012357,25.93652,0.299832
1500,A15,128kB,2,"hp",32kB,4,"hp",True,True,4MB,32,"lop",5.71214901942e-06,0.018049,316480083.075,11419498.0,961.0,0.010484,8115151.0,581767.0,1.652636,168848.0,26776.0,1.289993,16321500.0,49266937.275,18928140.0,56503939.5,18286958.1,9969657.6,1802176.8,510457.5,144760896.0,0.0,0.845519,0.404792,3.8e-05,0.0,0.175484,0.202365,3.8e-05,0.0,0.010925,0.012358,9.116219,0.066665
1500,A15,128kB,2,"hp",32kB,4,"lop",True,True,4MB,32,"hp",8.32759698301e-06,0.024148,344856591.975,11219403.0,874.0,0.005159,8188908.0,489436.0,1.692436,169968.0,25613.0,1.190663,20141940.0,64321356.675,19126275.0,58035684.0,25742836.2,10076908.8,1843996.8,848686.5,144713856.0,0.0,1.112525,0.401646,5e-05,0.0,0.0816,0.113967,5e-05,0.0,0.014375,0.012338,34.127,0.292665
1500,A15,128kB,2,"hp",32kB,4,"lop",True,True,4MB,32,"lop",8.33417270916e-06,0.024152,345071741.85,11220130.0,874.0,0.00508,8176958.0,498126.0,1.721686,169995.0,25584.0,1.189136,20141940.0,64372749.9,19226235.0,57940557.0,25912789.05,10126771.2,1809194.4,832108.5,144709152.0,0.0,1.112525,0.401353,5e-05,0.0,0.0816,0.113958,5e-05,0.0,0.014375,0.012335,11.995025,0.065035
1500,A15,128kB,2,"lop",32kB,4,"hp",True,True,4MB,32,"hp",5.71929421458e-06,0.018068,316542739.35,11430822.0,963.0,0.008359,8212702.0,490755.0,1.448464,168835.0,26804.0,1.295796,16321500.0,49416759.75,18917430.0,56333554.5,18333567.9,9964012.8,1869782.4,510462.0,144765600.0,0.0,0.30001,0.245615,3.8e-05,0.0,0.175484,0.202404,3.8e-05,0.0,0.010925,0.012355,25.93652,0.298795
1500,A15,128kB,2,"lop",32kB,4,"hp",True,True,4MB,32,"lop",5.72724282641e-06,0.018081,316754760.6,11430488.0,963.0,0.00751,8124538.0,581010.0,1.649351,168053.0,27585.0,1.343166,16394040.0,49278442.35,18953130.0,56533743.0,18364005.75,9982828.8,1840692.0,529074.0,144765600.0,0.0,0.30001,0.24542,3.8e-05,0.0,0.175484,0.202282,3.8e-05,0.0,0.010925,0.01235,9.116219,0.066268
1500,A15,128kB,2,"lop",32kB,4,"hp",True,True,4MB,32,"lop",5.72724282641e-06,0.018081,316754760.6,11430488.0,963.0,0.00751,8124538.0,581010.0,1.649351,168053.0,27585.0,1.343166,16394040.0,49278442.35,18953130.0,56533743.0,18364005.75,9982828.8,1840692.0,529074.0,144765600.0,0.0,0.30001,0.24542,3.8e-05,0.0,0.175484,0.202282,3.8e-05,0.0,0.010925,0.01235,9.116219,0.066268
1500,A15,128kB,2,"lop",32kB,4,"lop",True,True,4MB,32,"hp",8.33336849861e-06,0.024163,344881368.15,11230282.0,883.0,0.004977,8217717.0,462321.0,1.620018,170022.0,25567.0,1.186743,20190300.0,64345840.5,19181610.0,57836439.0,25812809.85,10109836.8,1803768.0,877500.0,144723264.0,0.0,0.39475,0.243593,5e-05,0.0,0.0816,0.11403,5e-05,0.0,0.014375,0.01233,34.127,0.29135
1500,A15,128kB,2,"lop",32kB,4,"lop",True,True,4MB,32,"lop",8.35817598889e-06,0.024173,345764943.9,11230535.0,883.0,0.00487,8180239.0,500140.0,1.720556,168243.0,27346.0,1.310958,20238660.0,64374511.05,19361895.0,58064044.5,26218778.85,10202035.2,1789732.8,797139.0,144709152.0,0.0,0.39475,0.243416,5e-05,0.0,0.0816,0.113991,5e-05,0.0,0.014375,0.01233,11.995025,0.064618
1500,A15,128kB,2,"hp",32kB,4,"hp",True,False,4MB,32,"hp",5.73791952497e-06,0.018245,314492711.7,11419972.0,960.0,0.004332,8163607.0,536521.0,1.575818,156071.0,39553.0,1.869252,17699760.0,47598901.95,17484075.0,55575036.0,19419171.45,9211372.8,1687488.0,1104039.0,144702096.0,0.0,0.845519,0.400886,3.8e-05,0.0,0.175484,0.201316,3.8e-05,0.0,0.010925,0.012318,25.93652,0.286564
1500,A15,128kB,2,"hp",32kB,4,"hp",True,False,4MB,32,"lop",5.73718352899e-06,0.018255,314280116.625,11419648.0,960.0,0.004274,8082038.0,614923.0,1.742615,155998.0,39626.0,1.867949,17699760.0,47787397.875,17394825.0,55331779.5,19233400.35,9161510.4,1775004.0,1165378.5,144706800.0,0.0,0.845519,0.400527,3.8e-05,0.0,0.175484,0.201261,3.8e-05,0.0,0.010925,0.012319,9.116219,0.063614
1500,A15,128kB,2,"hp",32kB,4,"lop",True,False,4MB,32,"hp",8.32819721423e-06,0.024301,342710061.9,11219907.0,876.0,0.004283,8149712.0,528643.0,1.80987,156277.0,39304.0,1.92224,20964060.0,64735973.4,17614380.0,57493449.0,24463581.9,9280051.2,1836938.4,1668312.0,144652704.0,0.0,1.112525,0.398483,5e-05,0.0,0.0816,0.11358,5e-05,0.0,0.014375,0.012306,34.127,0.281119
1500,A15,128kB,2,"hp",32kB,4,"lop",True,False,4MB,32,"lop",8.3535118534e-06,0.024316,343539720.9,11220529.0,876.0,0.004272,8140107.0,534981.0,1.827125,156269.0,39310.0,1.918951,21084960.0,64746276.3,17769675.0,57732598.5,24652300.5,9362841.6,1865906.4,1672173.0,144652704.0,0.0,1.112525,0.397913,5e-05,0.0,0.0816,0.113539,5e-05,0.0,0.014375,0.012302,11.995025,0.062232
1500,A15,128kB,2,"lop",32kB,4,"hp",True,False,4MB,32,"hp",5.75976890085e-06,0.018272,315223779.6,11430394.0,964.0,0.004208,8178474.0,525053.0,1.545496,155904.0,39735.0,1.863612,17723940.0,47717160.0,17398395.0,55784548.5,20039109.3,9168096.0,1687936.8,957213.0,144725616.0,0.0,0.30001,0.243028,3.8e-05,0.0,0.175484,0.201362,3.8e-05,0.0,0.010925,0.012313,25.93652,0.284233
1500,A15,128kB,2,"lop",32kB,4,"hp",True,False,4MB,32,"lop",5.77817405705e-06,0.018284,316023520.95,11430164.0,964.0,0.004175,8091813.0,613814.0,1.729875,156098.0,39541.0,1.851202,17820660.0,47564605.95,17557260.0,56520201.0,20005625.7,9249945.6,1627063.2,969007.5,144709152.0,0.0,0.30001,0.242829,3.8e-05,0.0,0.175484,0.201267,3.8e-05,0.0,0.010925,0.012307,9.116219,0.062929
1500,A15,128kB,2,"lop",32kB,4,"hp",True,False,4MB,32,"lop",5.77817405705e-06,0.018284,316023520.95,11430164.0,964.0,0.004175,8091813.0,613814.0,1.729875,156098.0,39541.0,1.851202,17820660.0,47564605.95,17557260.0,56520201.0,20005625.7,9249945.6,1627063.2,969007.5,144709152.0,0.0,0.30001,0.242829,3.8e-05,0.0,0.175484,0.201267,3.8e-05,0.0,0.010925,0.012307,9.116219,0.062929
1500,A15,128kB,2,"lop",32kB,4,"lop",True,False,4MB,32,"hp",8.35522267169e-06,0.024324,343497067.575,11230806.0,887.0,0.004289,8177973.0,502082.0,1.735106,156217.0,39373.0,1.914852,21084960.0,64772030.025,17726835.0,57827115.0,24563659.35,9340262.4,1838856.0,1688049.0,144655056.0,0.0,0.39475,0.241563,5e-05,0.0,0.0816,0.113622,5e-05,0.0,0.014375,0.012299,34.127,0.278997
1500,A15,128kB,2,"lop",32kB,4,"lop",True,False,4MB,32,"lop",8.35791076486e-06,0.024336,343438147.8,11230995.0,888.0,0.004284,8146065.0,534338.0,1.816079,156317.0,39275.0,1.908774,21109140.0,64772333.85,17623305.0,57819955.5,24575999.55,9285696.0,1854686.4,1697287.5,144699744.0,0.0,0.39475,0.241363,5e-05,0.0,0.0816,0.113584,5e-05,0.0,0.014375,0.012297,11.995025,0.06183
