freq,core,L1D_size,L1D_assoc,L1D_type,L1I_size,L1I_assoc,L1I_type,l2_enabled,l2_prefetch,L2_size,L2_assoc,L2_type,focus,benchmark,sim_seconds,total_energy,l1i_hits,l1i_misses,l1i_miss_rate,l1d_hits,l1d_misses,l1d_miss_rate,l2_hits,l2_misses,l2_miss_rate,refreshEnergy,selfRefreshEnergy,actEnergy,actBackEnergy,actPowerDownEnergy,preEnergy,preBackEnergy,prePowerDownEnergy,readEnergy,writeEnergy,dCacheStaticPower,dCacheDynamicPower,dWalkerCacheStaticPower,dWalkerCacheDynamicPower,iCacheStaticPower,iCacheDynamicPower,iWalkerCacheStaticPower,iWalkerCacheDynamicPower,cpuStaticPower,cpuDynamicPower,l2StaticPower,l2DynamicPower
1500,A7,32kB,2,hp,64kB,2,lop,True,False,2MB,16,hp,L1I,0.0000430000000000000,0.04732400000000000,899842874.1000000,22701238.0,834.0,0.015447,8786086.0,559254.0,3.146846000000000,471604.0,49936.0,3.868531,70871580.0,111017262.9,78764910.0,183632128.5,94337370.6,41509977.6,5803473.600000000,3856819.5,225575616.0,84456216.0,0.5971680000000000,0.21330199999999999,0.0,0.0,0.30336000000000002,0.33727200000000002,0.0,0.0,0.0027840000000000000,0.004891000000000000,32.819664000000003,0.307638
1500,A15,32kB,2,lop,32kB,2,hp,False,False,2MB,16,hp,L1D,0.00024399999999999999,0.05204100000000000,4695234361.875002,16423522.0,1018.0,0.033404999999999997,5697981.0,3656043.0,22.053876,0.0,0.0,0.0,323939460.0,3739842.375,349490505.0,1232211610.5,347986526.7000000,184195468.80000001,49695828.00000000,2173752.0,1226606808.0,974447136.0,0.23060300000000000,0.09498900000000000,0.00010600000000000000,0.0,0.5386390000000000,0.37451200000000001,0.00010600000000000000,0.0,0.030474999999999999,0.013265000000000001,0.0,0.0
1500,A15,512kB,2,lop,32kB,2,hp,True,False,2MB,16,hp,L1D,0.00001200000000000000,0.020330999999999998,613882551.0750000,16355792.0,1020.0,0.005763000000000000,8144093.0,1216992.0,3.0958679999999998,493875.0,26442.0,1.0925009999999999,30055740.0,49475776.274999999,61213005.0,116574309.0,29096619.600000001,32258150.399999999,3018506.4,968958.0,222713232.0,68413176.0,1.290807,0.995304,0.0000420000000000000,0.0,0.21342300000000000,0.372122,0.0000420000000000000,0.0,0.012075000000000001,0.013258,14.358603000000000,0.31257699999999999
1500,A15,32kB,2,hp,32kB,2,hp,True,True,2MB,32,lop,L2,0.00001400000000000000,0.02112000000000000,662298213.825,16338908.0,1027.0,0.012541999999999999,7858426.0,1491039.0,3.9924879999999998,465396.0,56128.0,2.805887,37237200.0,47072902.575,60495435.0,132650605.5,38358391.65,31880889.6,3094680.0000000000,1664572.5,225507408.0,84323304.0,0.27370200000000000,0.21584300000000001,0.0000440000000000000,0.0,0.22358600000000001,0.372336,0.0000440000000000000,0.0,0.012650000000000000,0.013274,5.606304000000000,0.09393600000000001
1500,A15,32kB,2,hp,32kB,32,hp,True,True,2MB,16,hp,L1I,0.00002200000000000000,0.03090100000000000,709948742.3250000,16188703.0,822.0,0.0036110000000000001,8541616.0,793779.0,2.7218350000000000,465051.0,56306.0,2.7174220000000000,44031780.0,74059840.725,57851850.0,139214313.0,47903634.600000001,30486624.0,3785424.000000000,2808958.5,225409800.0,84385080.0,0.3856710000000000,0.21186600000000000,0.0000620000000000000,0.0,0.5296970000000000,0.5566860000000000,0.0000620000000000000,0.0,0.017825000000000001,0.013200999999999999,21.196033000000000,0.30312000000000000
1500,A15,32kB,2,hp,32kB,2,hp,True,True,512kB,16,hp,L2,0.0000910000000000000,0.03275700000000000,2765278023.0,16409992.0,1014.0,0.005243,7017469.0,2337884.0,8.640879,265215.0,256311.0,15.940827000000001,203861580.0,1275691.0500000000,184320885.0,627207997.5,262845100.65,97143244.80000000,27974764.800000001,3718629.0,1224481776.0,132343848.0,0.41055300000000000,0.213253,0.00007,0.0,0.33537899999999998,0.3723620000000000,0.00007,0.0,0.018974999999999999,0.013221000000000000,5.756124000000000,0.09303699999999999
1500,A7,32kB,16,lop,32kB,2,hp,True,False,2MB,16,hp,L1D,0.00004300000000000000,0.047560999999999999,905753359.125,22699491.0,995.0,0.01587,8790868.0,554406.0,3.1029909999999998,472355.0,49268.0,3.700158000000000,71645340.0,111496223.32500000,80085810.0,184106820.0,96330391.50000000,42204288.00000000,5744068.800000000,3826476.0,225804936.0,84503952.0,0.2057280000000000,0.104229,0.0,0.0,0.48782399999999998,0.514525,0.0,0.0,0.0027840000000000000,0.004887000000000000,32.819664000000003,0.305537
1500,A15,128kB,2,hp,32kB,2,hp,True,True,2MB,16,hp,L1D,0.00001400000000000000,0.02109200000000000,663074537.2500000,16337857.0,1005.0,0.013698,8067962.0,1283328.0,3.552488,465309.0,56102.0,2.841305,37865880.0,47050304.850000001,60532920.0,135912174.0,37720336.500000000,31897824.0,3441602.3999999999,1884235.5,224892360.0,81867240.0,0.9790219999999999,0.42228500000000002,0.0000440000000000000,0.0,0.22358600000000001,0.372319,0.0000440000000000000,0.0,0.012650000000000000,0.013272000000000001,15.042346000000000,0.3158230000000000
1500,A15,32kB,2,hp,32kB,2,hp,True,False,2MB,4,lop,L2,0.00001300000000000000,0.02032700000000000,660076659.0,16340087.0,1020.0,0.005470000000000000,8105237.0,1246882.0,3.1574849999999999,494234.0,27285.0,1.124859,36681060.0,47304953.850000001,61687815.0,126485443.5,36768510.15000000,32510284.800000001,3870532.7999999998,2169058.5,227407824.0,85081464.0,0.2612610000000000,0.21527700000000000,0.0000420000000000000,0.0,0.21342300000000000,0.371921,0.0000420000000000000,0.0,0.012075000000000001,0.013263000000000000,5.249559,0.080379
1500,A15,32kB,4,hp,32kB,2,hp,True,True,2MB,16,hp,L1D,0.00001400000000000000,0.02101000000000000,654543681.5250000,16337998.0,1019.0,0.050385,8067262.0,1284037.0,3.310496,465246.0,56212.0,2.903489,36342540.0,47061825.975000001,58049985.0,131005696.5,37003877.85000000,30591993.6,2973381.6000000001,1600695.0,225536808.0,84370104.0,0.253308,0.16542200000000001,0.0000440000000000000,0.0,0.22358600000000001,0.3737290000000000,0.0000440000000000000,0.0,0.012650000000000000,0.013257000000000000,15.042346000000000,0.312828
